"","Contaminant","Min","Max","Median","Mean","DF","N_tested"
"1","HpCDD_1234678",0,0.0041,0.000355,0.00053,73.1,104
"2","HpCDD_Total",0,0.0064,0.00028,0.000634,58.7,104
"3","HpCDF_1234678",0,0.0017,0,0.000419,46.2,104
"4","HpCDF_1234789",0,0,0,0,0,104
"5","HpCDF_Total",0,0.0044,0,0.000371,33.7,104
"6","HxCDD_123478",0,0.0021,0.00018,0.000219,59.6,104
"7","HxCDD_123678",0,0.0025,0,0.000175,39.4,104
"8","HxCDD_123789",0,0.00093,0,3.52e-05,11.5,104
"9","HxCDD_Total",0,0.01,0,0.000453,43.3,104
"10","HxCDF_123478",0,0.0069,0.00013,0.000364,57.7,104
"11","HxCDF_123678",0,0.0081,0,0.000222,45.2,104
"12","HxCDF_123789",0,3e-04,0,3.67e-05,20.2,104
"13","HxCDF_234678",0,0.0071,0.00016,0.000354,55.8,104
"14","HxCDF_Total",0,0.019,0.000255,0.000858,59.6,104
"15","OCDD",0,0.013,0.001,0.00147,82.7,104
"16","OCDF",0,0.0013,0,0.000137,31.7,104
"17","PeCDD_12378",0,0.0022,0,0.000234,49,104
"18","PeCDD_Total",0,0.0046,0,0.000193,22.1,104
"19","PeCDF_12378",0,0.0023,0,9.66e-05,16.3,104
"20","PeCDF_23478",0,0.0054,0.00016,0.00033,64.4,104
"21","PeCDF_Total",0,0.013,0.000235,0.000749,60.6,104
"22","TCDD_2378",0,0.045,0,0.000671,26.9,104
"23","TCDD_Total",0,0.045,0,0.000771,38.5,104
"24","TCDF_2378",0,0.012,0.00017,0.000673,59.6,104
"25","TCDF_Total",0,0.023,0.00047,0.00167,68.3,104
"26","TEQ",0,0.052,0.00028,0.00123,96.2,104
