"","Contaminant","Min","Max","Median","Mean","DF","N_tested"
"1","2,4'-DDD",0,0.753,0,0.00768,1.02,98
"2","2,4'-DDE",0,0.107,0,0.0019,3.06,98
"3","2,4'-DDT",0,0.761,0,0.0171,12.2,98
"4","4,4'-DDD",0,8.87,0.0875,0.531,63.3,98
"5","4,4'-DDE",0.263,331,6.12,18.8,100,98
"6","4,4'-DDT",0,14.2,0.066,0.799,57.1,98
"7","Aldrin",0,0.105,0,0.00368,4.08,98
"8","Chlordane, alpha (cis)",0,3.98,0,0.0869,12.2,98
"9","Chlordane, gamma (trans)",0,0.503,0,0.0132,5.1,98
"10","Chlordane, oxy-",0,43.6,0,1.16,42.9,98
"11","Dieldrin",0,26.8,0.18,1.01,66.3,98
"12","Endosulphan Sulphate",0,0,0,0,0,98
"13","Endrin",0,0.588,0,0.006,1.02,98
"14","Endrin Aldehyde",0,0,0,0,0,98
"15","Endrin Ketone",0,0.519,0,0.0053,1.02,98
"16","HCH, alpha",0,0,0,0,0,98
"17","HCH, beta",0,1.79,0,0.0412,5.1,98
"18","HCH, delta",0,0,0,0,0,98
"19","HCH, gamma",0,0.446,0,0.0441,19.4,98
"20","Heptachlor",0,0.629,0,0.00751,2.04,98
"21","Heptachlor Epoxide",0,25,0,0.573,36.7,98
"22","Hexachlorobenzene",0,3.93,0.258,0.555,86.7,98
"23","Methoxychlor",0,0,0,0,0,98
"24","Mirex",0,7.55,0.033,0.288,50,98
"25","Nonachlor, cis-",0,11.5,0,0.256,44.9,98
"26","Nonachlor, trans-",0,41.6,0.187,1.17,80.6,98
"27","alpha-Endosulphan",0,0,0,0,0,98
"28","beta-Endosulphan",0,0,0,0,0,98
