"","Contaminant","Min","Max","Median","Mean","DF","N_tested"
"1","10PCB209",0,16,0.216,0.622,79.6,98
"2","1PCB1",0,0.045,0,0.000796,2.04,98
"3","1PCB2",0,0,0,0,0,98
"4","1PCB3",0,0,0,0,0,98
"5","2PCB11",0,0.219,0,0.00437,2.04,98
"6","2PCB12+13",0,0,0,0,0,98
"7","2PCB14",0,0,0,0,0,98
"8","2PCB15",0,0.545,0,0.0136,6.12,98
"9","2PCB4+10",0,0,0,0,0,98
"10","2PCB5+8",0,0,0,0,0,98
"11","2PCB6",0,0,0,0,0,98
"12","2PCB7+9",0,0.716,0,0.0788,39.8,98
"13","3PCB16+32",0,0,0,0,0,98
"14","3PCB17",0,0,0,0,0,98
"15","3PCB18",0,0,0,0,0,98
"16","3PCB19",0,0,0,0,0,98
"17","3PCB20+21+33",0,0,0,0,0,98
"18","3PCB22",0,0,0,0,0,98
"19","3PCB23+34",0,0,0,0,0,98
"20","3PCB24+27",0,0,0,0,0,98
"21","3PCB25",0,0.044,0,0.00146,4.08,98
"22","3PCB26",0,0.096,0,0.00271,3.06,98
"23","3PCB28",0,39.8,0,0.659,46.9,98
"24","3PCB29",0,0,0,0,0,98
"25","3PCB30",0,0,0,0,0,98
"26","3PCB31",0,1.72,0,0.0322,7.14,98
"27","3PCB35",0,0.24,0,0.00466,2.04,98
"28","3PCB36",0,0.152,0,0.00155,1.02,98
"29","3PCB37",0,0.985,0,0.0292,8.16,98
"30","3PCB38",0,0.845,0,0.0106,2.04,98
"31","3PCB39",0,0.14,0,0.00266,2.04,98
"32","4PCB40",0,0,0,0,0,98
"33","4PCB41+64+68+71",0,3.82,0,0.0497,7.14,98
"34","4PCB42+59",0,0.101,0,0.00197,2.04,98
"35","4PCB43+49",0,4.08,0,0.0638,9.18,98
"36","4PCB44",0,0.281,0,0.00557,3.06,98
"37","4PCB45",0,0,0,0,0,98
"38","4PCB46",0,0,0,0,0,98
"39","4PCB47+48+75",0,24.4,0,0.359,23.5,98
"40","4PCB50",0,0.049,0,5e-04,1.02,98
"41","4PCB51",0,0,0,0,0,98
"42","4PCB52+73",0,3.55,0,0.0667,13.3,98
"43","4PCB53",0,0,0,0,0,98
"44","4PCB54",0,0,0,0,0,98
"45","4PCB55",0,0,0,0,0,98
"46","4PCB56+60",0,8.25,0,0.133,22.4,98
"47","4PCB57",0,0,0,0,0,98
"48","4PCB58",0,0,0,0,0,98
"49","4PCB61+74",0,53,0.0635,0.877,59.2,98
"50","4PCB62+65",0,0.032,0,0.000633,2.04,98
"51","4PCB63",0,4.89,0,0.0731,14.3,98
"52","4PCB66+80",0,62.3,0,0.959,49,98
"53","4PCB67",0,0,0,0,0,98
"54","4PCB69",0,0,0,0,0,98
"55","4PCB70+76",0,3.45,0,0.0592,8.16,98
"56","4PCB72",0,1.74,0,0.0262,5.1,98
"57","4PCB77",0,3.88,0,0.0866,17.3,98
"58","4PCB78",0,0,0,0,0,98
"59","4PCB79",0,0.061,0,0.000949,2.04,98
"60","4PCB81",0,0.272,0,0.00278,1.02,98
