ID,"2,4'-DDD","HQ_2,4'-DDD","CR_2,4'-DDD","EPA_CR_2,4'-DDD","2,4'-DDE","HQ_2,4'-DDE","CR_2,4'-DDE","EPA_CR_2,4'-DDE","2,4'-DDT","HQ_2,4'-DDT","CR_2,4'-DDT","EPA_CR_2,4'-DDT","4,4'-DDD","HQ_4,4'-DDD","CR_4,4'-DDD","EPA_CR_4,4'-DDD","4,4'-DDE","HQ_4,4'-DDE","CR_4,4'-DDE","EPA_CR_4,4'-DDE","4,4'-DDT","HQ_4,4'-DDT","CR_4,4'-DDT","EPA_CR_4,4'-DDT",Aldrin,HQ_Aldrin,CR_Aldrin,EPA_CR_Aldrin,"Chlordane, alpha (cis)","HQ_Chlordane, alpha (cis)","CR_Chlordane, alpha (cis)","EPA_CR_Chlordane, alpha (cis)","Chlordane, gamma (trans)","HQ_Chlordane, gamma (trans)","CR_Chlordane, gamma (trans)","EPA_CR_Chlordane, gamma (trans)","Chlordane, oxy-","HQ_Chlordane, oxy-","CR_Chlordane, oxy-","EPA_CR_Chlordane, oxy-","HCH, alpha","HQ_HCH, alpha","CR_HCH, alpha","EPA_CR_HCH, alpha","HCH, beta","HQ_HCH, beta","CR_HCH, beta","EPA_CR_HCH, beta","HCH, gamma","HQ_HCH, gamma","CR_HCH, gamma","EPA_CR_HCH, gamma",Heptachlor,HQ_Heptachlor,CR_Heptachlor,EPA_CR_Heptachlor,Hexachlorobenzene,HQ_Hexachlorobenzene,CR_Hexachlorobenzene,EPA_CR_Hexachlorobenzene,Mirex,HQ_Mirex,CR_Mirex,EPA_CR_Mirex,"Nonachlor, cis-","HQ_Nonachlor, cis-","CR_Nonachlor, cis-","EPA_CR_Nonachlor, cis-","Nonachlor, trans-","HQ_Nonachlor, trans-","CR_Nonachlor, trans-","EPA_CR_Nonachlor, trans-",Dieldrin,HQ_Dieldrin,CR_Dieldrin,Endosulphan Sulphate,Endrin,HQ_Endrin,Endrin Aldehyde,Endrin Ketone,"HCH, delta",Heptachlor Epoxide,HQ_Heptachlor Epoxide,CR_Heptachlor Epoxide,Methoxychlor,HQ_Methoxychlor,alpha-Endosulphan,HQ_alpha-Endosulphan,beta-Endosulphan,HQ_beta-Endosulphan,Sum_OCPs_HQ,Sum_OCPs_CR,Sum_OCPs_EPACR
1 NY,0,0,0,0,0,0,0,0,0,0,0,0,0.033,1.23e-5,1.48e-9,5.49e-10,11.772,0.0044,7.47e-7,2.77e-7,0.109,4.07e-5,6.92e-9,2.57e-9,0,0,0,0,0,0,0,0,0,0,0,0,0.358,1.34e-4,2.34e-8,8.68e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0.00194,2.18e-7,8.08e-8,0.181,1.69e-4,6.08e-7,2.26e-7,0,0,0,0,0.096,3.58e-5,6.27e-9,2.33e-9,0.096,3.58e-4,1.06e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070898,1.71707e-6,5.97929e-7
10,0,0,0,0,0,0,0,0,0,0,0,0,0.146,5.45e-5,6.54e-9,2.43e-9,4.3420000000000005,0.00162,2.76e-7,1.02e-7,0.039,1.46e-5,2.48e-9,9.19e-10,0.082,5.1e-4,2.6e-7,9.66e-8,0.182,6.8e-5,1.19e-8,4.41e-9,0,0,0,0,0.287,1.07e-4,1.88e-8,6.96e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0.00246,2.75e-7,1.02e-7,0.457,4.27e-4,1.54e-6,5.7e-7,0.189,7.06e-5,1.23e-8,4.58e-9,0.26,9.71e-5,1.7e-8,6.31e-9,0.623,0.00233,6.91e-7,0,0,0,0,0,0,0.577,0.00829,3.64e-7,0,0,0,0,0,0,0.016048800000000002,3.47502e-6,8.96209e-7
11-1,0,0,0,0,0,0,0,0,0,0,0,0,0.035,1.31e-5,1.57e-9,5.82e-10,3.162,0.00118,2.01e-7,7.45e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,4.27e-4,4.78e-8,1.77e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016201000000000002,2.5037e-7,9.2782e-8
11-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.972,0.00298,5.06e-7,1.88e-7,0.092,3.43e-5,5.84e-9,2.17e-9,0,0,0,0,0,0,0,0,0,0,0,0,0.541,2.02e-4,3.53e-8,1.31e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0.00355,3.97e-7,1.47e-7,0.243,2.27e-4,8.17e-7,3.03e-7,0.064,2.39e-5,4.18e-9,1.55e-9,0.229,8.55e-5,1.5e-8,5.55e-9,0.48400000000000004,0.00181,5.37e-7,0,0,0,0,0,0,0.32,0.0046,2.02e-7,0,0,0,0,0,0,0.0135127,2.51932e-6,6.6037e-7
119-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,5.49e-4,9.33e-8,3.46e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,3.33e-4,3.73e-8,1.39e-8,0.118,1.1e-4,3.97e-7,1.47e-7,0,0,0,0,0.09,3.36e-5,5.88e-9,2.18e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010256,5.3348e-7,1.9768e-7
122-1,0,0,0,0,0,0,0,0,0,0,0,0,0.292,1.09e-4,1.31e-8,4.86e-9,4.73,0.00177,3e-7,1.11e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,0.045,3.96e-8,1.47e-8,0,0,0,0,0.267,7.12e-4,7.97e-8,2.96e-8,0,0,0,0,0,0,0,0,0.039,1.46e-5,2.55e-9,9.46e-10,0.114,4.26e-4,1.26e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480316,5.6095e-7,1.6110600000000001e-7
123-1,0,0,0,0,0,0,0,0,0,0,0,0,0.097,3.62e-5,4.35e-9,1.61e-9,26.7,0.00997,1.69e-6,6.29e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,3.88e-4,6.8e-8,2.52e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572,0.00153,1.71e-7,6.34e-8,0.215,2.01e-4,7.22e-7,2.68e-7,0,0,0,0,0.205,7.65e-5,1.34e-8,4.97e-9,0.193,7.21e-4,2.14e-7,0,0,0,0,0,0,0.228,0.00327,1.44e-7,0,0,0,0,0,0,0.0161927,3.02675e-6,9.9218e-7
128-1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1.38e-4,1.66e-8,6.15e-9,6.04,0.00226,3.83e-7,1.42e-7,0.549,2.05e-4,3.48e-8,1.29e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,5.08e-5,8.89e-9,3.3e-9,0,0,0,0,0,0,0,0,0,0.314,0.00451,1.98e-7,0,0,0,0,0,0,0.0071638,6.412899999999999e-7,1.6435e-7
131-1,0,0,0,0,0,0,0,0,0,0,0,0,0.082,3.06e-5,3.67e-9,1.36e-9,10.2,0.00381,6.47e-7,2.4e-7,0.202,7.54e-5,1.28e-8,4.76e-9,0,0,0,0,0.16,5.97e-5,1.05e-8,3.88e-9,0,0,0,0,12.5,0.00467,8.17e-7,3.03e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12399999999999997,3.31e-4,3.7e-8,1.37e-8,0.193,1.8e-4,6.49e-7,2.41e-7,0.292,1.09e-4,1.91e-8,7.08e-9,9.07,0.00339,5.93e-7,2.2e-7,0.355,0.00133,3.94e-7,0,0,0,0,0,0,0.632,0.00908,3.99e-7,0,0,0,0,0,0,0.023065699999999998,3.58207e-6,1.03478e-6
132-1,0,0,0,0,0,0,0,0,0,0,0,0,2.11,7.88e-4,9.45e-8,3.51e-8,14.8,0.00553,9.39e-7,3.49e-7,0.758,2.83e-4,4.81e-8,1.79e-8,0,0,0,0,0,0,0,0,0,0,0,0,0.532,1.99e-4,3.48e-8,1.29e-8,0,0,0,0,0,0,0,0,0.446,0.104,9.16e-8,3.4e-8,0,0,0,0,0.12099999999999997,3.23e-4,3.61e-8,1.34e-8,0,0,0,0,0,0,0,0,0.307,1.15e-4,2.01e-8,7.45e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11123799999999999,1.2642000000000001e-6,4.6975000000000003e-7
