ID,11Cl-PF3OUdS,3:3 FTCA,4:2 FTS,5:3 FTCA,6:2 FTS,7:3 FTCA,8:2 FTS,9Cl-PF3ONS,ADONA,EtFOSAA,HFPO-DA,HQ_HFPO-DA,MeFOSAA,N-EtFOSA,N-EtFOSE,N-MeFOSA,N-MeFOSE,NFDHA,PFBA,HQ_PFBA,PFBS,HQ_PFBS,PFDA,HQ_PFDA,PFDS,HQ_PFDS,PFDoA,HQ_PFDoA,PFDoS,PFEESA,PFHpA,HQ_PFHpA,PFHpS,PFHxA,HQ_PFHxA,PFHxS,HQ_PFHxS,PFMBA,PFMPA,PFNA,HQ_PFNA,PFNS,PFOA,HQ_PFOA,CR_PFOA,EPA_CR_PFOA,PFOS,HQ_PFOS,PFOSA,HQ_PFOSA,PFPeA,HQ_PFPeA,PFPeS,PFTeDA,HQ_PFTeDA,PFTrDA,HQ_PFTrDA,PFUnA,HQ_PFUnA,Sum_PFAS_HQ,Sum_PFAS_CR,Sum_PFAS_EPACR
1,0,0,0,0,0.396,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,0.243,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0.00784,0,0,0,0,0,0.338,0.0315,0,0,0,0,0,0.1,0.00156,0,0,0,0,0.04392,0,0
1 NY,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.00429,0,0,0.124,0.00193,0,0,0,0,0,0,0,0,0,0,0,0.436,0.0271,0,0.216,0.0134,2.82e-9,1.05e-9,1.9,0.177,0,0,0,0,0,0,0,0,0,0.10200000000000001,0.00159,0.22530999999999998,2.82e-9,1.05e-9
10,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0.133,0,0,0,0,0,0,0.177,0.0022,0,0,0.201,0.00313,0,0,0,0,0,0,0,0.36,0.00336,0,0,0.606,0.0377,0,0.129,0.00803,1.69e-9,6.26e-10,1.89,0.176,0,0,0,0,0,0.137,0.00213,0.16700000000000004,0.0026,0.13599999999999998,0.00212,0.23726999999999998,1.69e-9,6.26e-10
11-1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0.186,0.00231,0,0,0.233,0.00362,0,0,0,0,0,0,0,0,0,0,0,0.366,0.0228,0,0,0,0,0,1.37,0.128,0,0,0,0,0,0,0,0,0,0.12499999999999997,0.00194,0.15867,0,0
11-2A,0,0,0,0,0.454,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0.00159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0.0398,0,0,0,0,0,0.306,0.0286,0,0,0,0,0,0,0,0,0,0,0,0.06999,0,0
2,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0.166,0.00207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0.0109,0,0,0,0,0,0.205,0.0191,0,0,0,0,0,0,0,0,0,0,0,0.03207,0,0
21-1,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,6.57,0,0,0,1.14,2.13e-4,0,0,0.399,0.00497,0,0,0.077,0.0012,0,0,0,0,0,0,0,0,0,0,0,0.357,0.0222,0,0.127,0.0079,1.66e-9,6.16e-10,1.08,0.101,0,0,0,0,0,0,0,0,0,0,0,0.137483,1.66e-9,6.16e-10
26-2,0,0,0,0,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0.0128,0,0,0.248,0.00386,0,0,0,0,0,0,0,0.13,0.00121,0,0,1.49,0.0927,0,0,0,0,0,8.91,0.832,0,0,0,0,0,0.106,0.00165,0,0,0.4149999999999999,0.00646,0.95068,0,0
3,0,0,0,0,0.304,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0.173,0.00215,0,0,0.117,0.00182,0,0,0,0,0,0,0,0,0,0,0,0.263,0.0164,0,0,0,0,0,0.55,0.0513,0,0,0,0,0,0.107,0.00166,0,0,0,0,0.07333,0,0
34-1,0,0,0,0,0.477,0,0,0,0,0,0,0,0,0,5.75,0,0,0,1.06,1.98e-4,0,0,0.255,0.00317,0,0,0.079,0.00123,0,0,0,0,0,0,0,0,0,0,0,0.183,0.0114,0,0,0,0,0,0.797,0.0744,0,0,0,0,0,0,0,0,0,0,0,0.09039799999999999,0,0
37-2,0,0,0,0,0.691,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0.25,0.00311,0,0,0.148,0.0023,0,0,0,0,0,0,0,0,0,0,0,0.125,0.00778,0,0,0,0,0,0.589,0.055,0,0,0,0,0,0.145,0.00226,0.17500000000000004,0.00272,0,0,0.07317,0,0
4,0,0,0,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0.0019,0,0,0.089,0.00138,0,0,0,0,0,0,0,0,0,0,0,0.23,0.0143,0,0,0,0,0,0.624,0.0582,0,0,0,0,0,0.18,0.0028,0,0,0,0,0.07858,0,0
41-1,0,0,0,0,0.512,3.25,0,0,0,0,0,0,0,0,5.93,0,0,0,0.652,1.22e-4,0,0,0.238,0.00296,0,0,0.087,0.00135,0,0,0,0,0,0,0,0,0,0,0,0.301,0.0187,0,0,0,0,0,0.21,0.0196,0,0,0,0,0,0,0,0,0,0,0,0.042732,0,0
46-1,0,0,0,0,0.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0.00215,0.22700000000000004,0.00353,0,0,0.00705,0,0
6,0,0,0,0,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0.00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.0268,0,0,0,0,0,0.525,0.049,0,0,0,0,0,0,0,0,0,0,0,0.07881,0,0
7,0,0,0,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0.00759,0,0,0,0,0,0.175,0.0163,0,0,0,0,0,0,0,0,0,0,0,0.023889999999999998,0,0
8,0,0,0,0,0.912,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0.92,1.72e-4,0,0,0.176,0.00219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0.00865,0,0,0,0,0,0.175,0.0163,0,0,0,0,0,0,0,0,0,0,0,0.027312,0,0
9,0,0,0,0,0.406,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0.493,9.2e-5,0,0,0.387,0.00482,0,0,0.56,0.00871,0,0,0,0,0.155,0,0,0.469,0.00438,0,0,1.04,0.0647,0,0.207,0.0129,2.7e-9,1e-9,7.79,0.727,0,0,0,0,0,0.656,0.0102,1.134,0.0176,0.3969999999999999,0.00618,0.856582,2.7e-9,1e-9
49-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.0116,0,0,0,0,0,0.129,0.012,0,0,0,0,0,0,0,0.211,0.00328,0,0,0.02688,0,0
53-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0.711,0.00885,0.247,0.00384,0.562,0.00874,0,0,0,0,0,0,0,0,0,0,0,1.09,0.0678,0,0,0,0,0,10.4,0.971,0,0,0,0,0,0.341,0.0053,0.625,0.00972,0.366,0.00569,1.08094,0,0
57-1,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,2.51,0.114,0,0,0,0,0,0,0.719,0.00895,0,0,0.356,0.00554,0,0,0,0,0,0,0,0.881,0.00822,0,0,1.12,0.0697,0,0.098,0.0061,1.28e-9,4.75e-10,3.57,0.333,0,0,0,0,0,0.249,0.00387,0.294,0.00457,0.41900000000000004,0.00652,0.44647000000000003,1.28e-9,4.75e-10
58-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0.00815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.00233,0,0,0.01048,0,0
62-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0.102,0,0,0,0,0,0,0.16,0.00199,0,0,0.166,0.00258,0,0,0,0,0,0,0,0,0,0,0,0.224,0.0139,0,0,0,0,0,0.869,0.0811,0,0,0,0,0,0,0,0.223,0.00347,0.09600000000000002,0.00149,0.10453,0,0
64-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36,0.092,0,0,0,0,0,0,0.125,0.00156,0,0,0.107,0.00166,0,0,0,0,0,0,0,0,0,0,0,0.336,0.0209,0,0,0,0,0,1.02,0.0952,0,0,0,0,0,0.118,0.00184,0.234,0.00364,0,0,0.12480000000000001,0,0
69-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0.107,0,0,0,0,0,0,0.19,0.00236,0,0,0.163,0.00254,0,0,0,0,0,0,0,0,0,0,0,0.295,0.0184,0,0,0,0,0,0.474,0.0442,0,0,0,0,0,0.114,0.00177,0.211,0.00328,0.23800000000000004,0.0037,0.07625,0,0
70-1,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0,0.285,0.00355,0,0,0.143,0.00222,0,0,0,0,0,0,0,0,0,0,0,0.275,0.0171,0,0.083,0.00516,1.08e-9,4.03e-10,1.55,0.145,0,0,0,0,0,0,0,0.222,0.00345,0.09200000000000001,0.00143,0.17790999999999998,1.08e-9,4.03e-10
72-1,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.00299,0,0,0.391,0.00608,0,0,0,0,0,0,0,0,0,0,0,0.199,0.0124,0,0,0,0,0,2.1,0.196,0,0,0,0,0,0.366,0.00569,0.396,0.00616,0,0,0.22932,0,0
74-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.00124,0,0,0,0,0,0,0,0,0,0,0,0.29,0.018,0,0,0,0,0,0.335,0.0313,0,0,0,0,0,0,0,0.114,0.00177,0,0,0.05231,0,0
77-1,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0,0,0.15,0.00187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,0.0556,0,0,0,0,0,0.239,0.0223,0,0,0,0,0,0,0,0,0,0,0,0.07977,0,0
82-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,0,0,0,0,0,0.207,0.00258,0,0,0.167,0.0026,0,0,0,0,0,0,0,0,0,0,0,1.48,0.0921,0,0,0,0,0,0.505,0.0471,0,0,0,0,0,0,0,0.381,0.00593,0.15500000000000003,0.00241,0.15272,0,0
84-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0.157,0.00195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362,0.0225,0,0,0,0,0,0.182,0.017,0,0,0,0,0,0,0,0.263,0.00409,0,0,0.04554,0,0
86-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0.122,0,0,0,0,0,0,0.247,0.00307,0,0,0.132,0.00205,0,0,0,0,0,0,0,0,0,0,0,0.227,0.0141,0,0,0,0,0,0.506,0.0472,0,0,0,0,0,0,0,0.138,0.00215,0,0,0.06856999999999999,0,0
87-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,0,0,0,0,0,0,0,0.111,0.00138,0,0,0.106,0.00165,0,0,0,0,0,0,0,0,0,0,0,0.215,0.0134,0,0,0,0,0,0.252,0.0235,0,0,0,0,0,0,0,0.257,0.004,0,0,0.043930000000000004,0,0
89-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0.097,0,0,0,0,0,0,0.261,0.00325,0,0,0.308,0.00479,0,0,0,0,0,0,0,0,0,0,0,0.342,0.0213,0,0,0,0,0,2.33,0.217,0,0,0,0,0,0.221,0.00344,0.404,0.00628,0.773,0.012,0.26806,0,0
94-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.00591,0,0,0,0,0,0.192,0.0179,0,0,0,0,0,0,0,0.194,0.00302,0,0,0.02683,0,0
94-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0.134,0.00167,0,0,0.146,0.00227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394,0,0
