Contaminant,Min,Max,Median,Mean,DF,N_tested
10PCB209,0,16,0.216,0.622,79.6,98
11Cl-PF3OUdS,0,0,0,0,0,107
1PCB1,0,0.045,0,7.96e-4,2.04,98
1PCB2,0,0,0,0,0,98
1PCB3,0,0,0,0,0,98
"2,4'-DDD",0,0.753,0,0.00768,1.02,98
"2,4'-DDE",0,0.107,0,0.0019,3.06,98
"2,4'-DDT",0,0.761,0,0.0171,12.2,98
2PCB11,0,0.219,0,0.00437,2.04,98
2PCB12+13,0,0,0,0,0,98
2PCB14,0,0,0,0,0,98
2PCB15,0,0.545,0,0.0136,6.12,98
2PCB4+10,0,0,0,0,0,98
2PCB5+8,0,0,0,0,0,98
2PCB6,0,0,0,0,0,98
2PCB7+9,0,0.716,0,0.0788,39.8,98
3:3 FTCA,0,0,0,0,0,107
3PCB16+32,0,0,0,0,0,98
3PCB17,0,0,0,0,0,98
3PCB18,0,0,0,0,0,98
3PCB19,0,0,0,0,0,98
3PCB20+21+33,0,0,0,0,0,98
3PCB22,0,0,0,0,0,98
3PCB23+34,0,0,0,0,0,98
3PCB24+27,0,0,0,0,0,98
3PCB25,0,0.044,0,0.00146,4.08,98
3PCB26,0,0.096,0,0.00271,3.06,98
3PCB28,0,39.8,0,0.659,46.9,98
3PCB29,0,0,0,0,0,98
3PCB30,0,0,0,0,0,98
3PCB31,0,1.72,0,0.0322,7.14,98
3PCB35,0,0.24,0,0.00466,2.04,98
3PCB36,0,0.152,0,0.00155,1.02,98
3PCB37,0,0.985,0,0.0292,8.16,98
3PCB38,0,0.845,0,0.0106,2.04,98
3PCB39,0,0.14,0,0.00266,2.04,98
"4,4'-DDD",0,8.87,0.0875,0.531,63.3,98
"4,4'-DDE",0.263,331,6.12,18.8,100,98
"4,4'-DDT",0,14.2,0.066,0.799,57.1,98
4:2 FTS,0,0,0,0,0,107
4PCB40,0,0,0,0,0,98
4PCB41+64+68+71,0,3.82,0,0.0497,7.14,98
4PCB42+59,0,0.101,0,0.00197,2.04,98
4PCB43+49,0,4.08,0,0.0638,9.18,98
4PCB44,0,0.281,0,0.00557,3.06,98
4PCB45,0,0,0,0,0,98
4PCB46,0,0,0,0,0,98
4PCB47+48+75,0,24.4,0,0.359,23.5,98
4PCB50,0,0.049,0,5e-4,1.02,98
4PCB51,0,0,0,0,0,98
4PCB52+73,0,3.55,0,0.0667,13.3,98
4PCB53,0,0,0,0,0,98
4PCB54,0,0,0,0,0,98
4PCB55,0,0,0,0,0,98
4PCB56+60,0,8.25,0,0.133,22.4,98
4PCB57,0,0,0,0,0,98
4PCB58,0,0,0,0,0,98
4PCB61+74,0,53,0.0635,0.877,59.2,98
4PCB62+65,0,0.032,0,6.33e-4,2.04,98
4PCB63,0,4.89,0,0.0731,14.3,98
4PCB66+80,0,62.3,0,0.959,49,98
