ID,HQ_TEQ,CR_TEQ,EPA_CR_TEQ,TEQ,TCDF_2378,TCDF_Total,TCDD_2378,TCDD_Total,PeCDF_12378,PeCDF_23478,PeCDF_Total,PeCDD_12378,PeCDD_Total,HxCDF_123478,HxCDF_123678,HxCDF_234678,HxCDF_123789,HxCDF_Total,HxCDD_123478,HxCDD_123678,HxCDD_123789,HxCDD_Total,HpCDF_1234678,HpCDF_1234789,HpCDF_Total,HpCDD_1234678,HpCDD_Total,OCDF,OCDD
2,0,0,0,0,0,0,0,0,0,0,2.9e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.181,1.9e-5,7.07e-6,6.8e-4,0,0,0,0,0,0,0,6.8e-4,0,0,0,0,0,4.3e-4,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.157,1.65e-5,6.13e-6,5.899999999999999e-4,7.9e-4,0.0012,0,0,0,3.5999999999999997e-4,2.7e-4,4.1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-4,0,0.0023
11-1,0.0056,5.88e-7,2.18e-7,2.1000000000000002e-5,2.0999999999999998e-4,2.2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-2,0.293,3.08e-5,1.14e-5,0.0011,5.3e-4,5.3e-4,2.2e-4,6.2e-4,0,2.9e-4,0,6.6e-4,0,0,0,0,0,0,4.7e-4,0,0,0,0,0,0,0,4e-4,0,0
1 NY,0.128,1.34e-5,4.99e-6,4.7999999999999996e-4,5.600000000000001e-4,5.200000000000001e-4,0,0,0,2.5e-4,0,3.1e-4,0,4.1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014
119-4,0.00427,4.48e-7,1.66e-7,1.6e-5,1.6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011
122-1,1.23e-4,1.29e-8,4.78e-9,4.6e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015
123-1,0.245,2.58e-5,9.56e-6,9.2e-4,7e-4,0.0013,2.6000000000000003e-4,2.6000000000000003e-4,0,4.3e-4,0,4.6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
128-1,1.09e-4,1.15e-8,4.26e-9,4.1e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014
131-1,0.32,3.36e-5,1.25e-5,0.0012,0.0011,0.0024,3.7e-4,0,0,7.700000000000001e-4,7.700000000000001e-4,4.4e-4,3.5e-4,8.399999999999999e-4,0,0,0,0,0,0,0,0,0,0,0,6.8e-4,0,0,0.0019
132-1,0.168,1.76e-5,6.55e-6,6.3e-4,4e-4,6.2e-4,1.6e-4,1.6e-4,0,1.9e-4,1.9e-4,3.3e-4,0,3.7e-4,0,0,0,0,0,0,0,0,0,0,0,3.1e-4,3.1e-4,0,9.5e-4
136-1,0.0987,1.04e-5,3.85e-6,3.7e-4,4.4e-4,0.0012,0,2.0999999999999998e-4,0,2.0999999999999998e-4,2.0999999999999998e-4,2.2e-4,0,0,0,0,0,0,3.9e-4,0,0,3.9e-4,0,0,0,0,0,0,7.700000000000001e-4
138-1,0.0613,6.44e-6,2.39e-6,2.3e-4,0,0,0,0,0,1e-4,0,2e-4,0,0,0,0,0,3.9e-4,0,0,0,0,0,0,0,0,0,0,0
138-3,0.0427,4.48e-6,1.66e-6,1.6e-4,0,0,0,0,0,0,0,1.6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.200000000000001e-4,5.200000000000001e-4,0,0.0046
142-1,0.157,1.65e-5,6.13e-6,5.899999999999999e-4,3.9e-4,7e-4,1.9e-4,1.9e-4,0,1.9e-4,3.8e-4,2.9e-4,2.9e-4,0,0,0,0,0,0,0,0,0,0,0,0,3.7e-4,3.7e-4,0,0
158-1,0.00373,3.92e-7,1.46e-7,1.4e-5,1.4000000000000001e-4,0,0,0,0,0,1.1999999999999999e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5e-4,0,0
177-1,0.211,2.21e-5,8.21e-6,7.9e-4,0,0,0,0,0,0,0,4.4e-4,0,0.003,0,0,0,0,2.0999999999999998e-4,2.5e-4,0,0,0,0,0,5.4e-4,5.4e-4,0,8.2e-4
184-1,0.773,8.12e-5,3.01e-5,0.0029,6.7e-4,5.600000000000001e-4,7e-4,0,0,5.1e-4,3.8e-4,9.699999999999999e-4,0,0.006900000000000001,0,2.0999999999999998e-4,0,2.2e-4,9.599999999999999e-4,0.0012,5.600000000000001e-4,5.600000000000001e-4,0,0,0,0.0018,0,0,0.0023
184-2,0.507,5.32e-5,1.98e-5,0.0019,7.8e-4,0.0024,6.1e-4,9.1e-4,0,3.8e-4,0.0012,8.3e-4,8.3e-4,2.6000000000000003e-4,4e-4,1.5e-4,0,0.0011,7.199999999999999e-4,0.0011,2.7e-4,0.0011,1.9e-4,0,0,0.0022,0.0022,2.6000000000000003e-4,0.0029
190-1A,0.237,2.49e-5,9.25e-6,8.900000000000001e-4,8e-4,0.0016,1e-4,1e-4,0,3.5999999999999997e-4,6.2e-4,4.5e-4,0,2.3e-4,2.6000000000000003e-4,0,0,2.3e-4,4.4e-4,5.4e-4,0,9.599999999999999e-4,1.6e-4,0,1.6e-4,5.7e-4,5.7e-4,0,6e-4
190-1B,0.133,1.4e-5,5.2e-6,5e-4,4.5e-4,8.7e-4,5.6e-5,5.6e-5,0,1.1999999999999999e-4,1e-4,2.3999999999999998e-4,3.8e-4,8.5e-5,3.1e-4,5e-4,0,3.1e-4,1.7999999999999998e-4,1.6e-4,0,0,0,0,0,2e-4,2e-4,0,5.200000000000001e-4
197-1,0.117,1.23e-5,4.57e-6,4.4e-4,3.5e-4,0.0013,0,2e-4,0,2.7e-4,9.4e-4,2.2e-4,0,1.1999999999999999e-4,1.6e-4,1.5e-4,0,5.4e-4,2.5e-4,2.3999999999999998e-4,6.8e-5,7.5e-5,0,0,0,5.200000000000001e-4,5.200000000000001e-4,0,0.0015
205-1,0.373,3.92e-5,1.46e-5,0.0014,0.0011,0.0034,2.7e-4,3.9e-4,2.8000000000000003e-4,7.6e-4,0.0019,5.7e-4,0,1.4000000000000001e-4,5e-4,6e-4,0,3.7e-4,4.1e-4,5.5e-4,1.6e-4,0.0011,8.2e-4,0,8.2e-4,0.0012,0,1.4000000000000001e-4,0.0038
206-1,0.0293,3.08e-6,1.14e-6,1.1e-4,0,1e-4,0,0,0,0,0,8.599999999999999e-5,0,0,0,0,0,0,1.4000000000000001e-4,6.3e-5,0,0,0,0,0,2.6000000000000003e-4,0,0,0.0012
