ID,HQ_Hg,HQ_TEQ,CR_TEQ,EPA_CR_TEQ,HQ_TPCB,CR_TPCB,EPA_CR_TPCB,Sum_OCPs_HQ,Sum_OCPs_CR,Sum_OCPs_EPACR,Sum_PFAS_HQ,Sum_PFAS_CR,Sum_PFAS_EPACR,Total_HI,Total_EPACR,Total_CR
1,0.0084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04392,0,0,NA,NA,NA
1 NY,0.0177,0.128,1.34e-5,4.99e-6,0.19,7.62e-6,2.83e-6,0.0070898,1.71707e-6,5.97929e-7,0.22531,2.82e-9,1.05e-9,0.568,8.42e-6,2.27e-5
10,0.0648,0.157,1.65e-5,6.13e-6,0.231,9.26e-6,3.44e-6,0.0160488,3.47502e-6,8.96209e-7,0.23727,1.69e-9,6.26e-10,0.706,1.05e-5,2.92e-5
103-1,0,0.00507,5.32e-7,1.98e-7,NA,NA,NA,NA,NA,NA,0.01406,0,0,NA,NA,NA
103-2,0.0491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-1,0.0422,0.0056,5.88e-7,2.18e-7,0.0105,4.22e-7,1.57e-7,0.0016201,2.5037e-7,9.2782e-8,0.15867,0,0,0.219,4.68e-7,1.26e-6
11-2,0.0504,0.293,3.08e-5,1.14e-5,0.148,5.94e-6,2.2e-6,0.0135127,2.51932e-6,6.6037e-7,0.06999,0,0,0.575,1.43e-5,3.93e-5
119-4,0.017,0.00427,4.48e-7,1.66e-7,0.0392,1.57e-6,5.82e-7,0.0010256,5.3348e-7,1.9768e-7,0.1041,0,0,0.166,9.46e-7,2.55e-6
122-1,0,1.23e-4,1.29e-8,4.78e-9,0.00551,2.2e-7,8.18e-8,0.0480316,5.6095e-7,1.6110600000000001e-7,0.0173423,0,0,0.071,2.48e-7,7.94e-7
123-1,0.0119,0.245,2.58e-5,9.56e-6,0.396,1.58e-5,5.88e-6,0.0161927,3.02675e-6,9.9218e-7,0.05327,0,0,0.722,1.64e-5,4.46e-5
128-1,0,1.09e-4,1.15e-8,4.26e-9,0.0278,1.11e-6,4.13e-7,0.0071638,6.412899999999999e-7,1.6435e-7,0,0,0,0.0351,5.82e-7,1.76e-6
131-1,0.0142,0.32,3.36e-5,1.25e-5,1.35,5.41e-5,2.01e-5,0.02306569999999999,3.58207e-6,1.03478e-6,0.32547299999999996,0,0,2.03,3.36e-5,9.13e-5
132-1,0.0144,0.168,1.76e-5,6.55e-6,0.111,4.44e-6,1.65e-6,0.111238,1.2642e-6,4.6975000000000003e-7,0.0597,0,0,0.464,8.67e-6,2.33e-5
136-1,0.163,0.0987,1.04e-5,3.85e-6,0.0674,2.7e-6,1e-6,0.0318991,5.00851e-6,1.25046e-6,0.12753,0,0,0.489,6.1e-6,1.81e-5
138-1,0,0.0613,6.44e-6,2.39e-6,0.0446,1.78e-6,6.63e-7,0.003587,5.97e-7,2.214e-7,0.01219,0,0,0.122,3.27e-6,8.82e-6
138-3,0,0.0427,4.48e-6,1.66e-6,NA,NA,NA,NA,NA,NA,0.0161,0,0,NA,NA,NA
142-1,0.0108,0.157,1.65e-5,6.13e-6,0.25,1e-5,3.71e-6,0.0727049,1.91308e-6,7.1015e-7,0.0269,0,0,0.517,1.06e-5,2.84e-5
148-1,0,0.0267,2.8e-6,1.04e-6,0.215,8.59e-6,3.19e-6,0.005216,1.81631e-6,6.03563e-7,0.08894,0,0,0.336,4.83e-6,1.32e-5
150-1,0.114,0.0251,2.63e-6,9.77e-7,0.0865,3.46e-6,1.28e-6,0.122984,4.44792e-6,1.25802e-6,0.34563,0,0,0.694,3.52e-6,1.05e-5
158-1,NA,0.00373,3.92e-7,1.46e-7,0.0301,1.21e-6,4.48e-7,0.003191,1.6981e-6,6.320499999999999e-7,0.076932,0,0,NA,1.23e-6,3.3e-6
161-1,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263402,0,0,NA,NA,NA
177-1,0.0771,0.211,2.21e-5,8.21e-6,0.153,6.12e-6,2.27e-6,0.0157581,3.21568e-6,4.6488e-7,0.46844,0,0,0.925,1.09e-5,3.14e-5
184-1,0.0258,0.773,8.12e-5,3.01e-5,0.342,1.37e-5,5.07e-6,0.0088132,2.51354e-6,7.227e-7,0.92374,0,0,2.07,3.59e-5,9.74e-5
184-2,0.0315,0.507,5.32e-5,1.98e-5,0.285,1.14e-5,4.23e-6,0.0146724,3.0632e-6,7.7798e-7,1.20017,3.06e-9,1.14e-9,2.04,2.48e-5,6.77e-5
190-1A,0.0222,0.237,2.49e-5,9.25e-6,0.257,1.03e-5,3.81e-6,0.0057754,1.43369e-6,3.7745000000000003e-7,0.422115,1.79e-9,6.65e-10,0.944,1.34e-5,3.66e-5
190-1B,0.0151,0.133,1.4e-5,5.2e-6,0.207,8.29e-6,3.08e-6,0.1936291,2.64586e-5,9.01773e-6,0.27791,0,0,0.827,1.73e-5,4.87e-5
197-1,0.282,0.117,1.23e-5,4.57e-6,0.0792,3.17e-6,1.18e-6,0.05931236,9.9844e-7,1.47925e-7,0.3037104,1.76e-9,6.55e-10,0.841,5.9e-6,1.65e-5
2,0.0452,0,0,0,0.0129,5.15e-7,1.91e-7,0.0015736,4.685e-7,1.7378e-7,0.03207,0,0,0.0917,3.65e-7,9.84e-7
205-1,0.0121,0.373,3.92e-5,1.46e-5,0.166,6.65e-6,2.47e-6,0.1043164,1.74378e-5,9.3586e-7,1.2407300000000001,2.42e-9,8.97e-10,1.9,1.8e-5,6.33e-5
206-1,0,0.0293,3.08e-6,1.14e-6,0.00446,1.78e-7,6.63e-8,0.0179486,2.81022e-6,4.9091e-7,0.02208,0,0,0.0738,1.7e-6,6.07e-6
