ID,Hg_test,dioxin_test,PCBOCP_test,PFAS_test,species,sex,state,ecoregion,sample_group,county,town,address,latitude,longitude,harvest_date,age,weight_(g),culmen_(mm),tarsus_(mm),head_length_(mm),Hg,TEQ,TCDF_2378,TCDF_Total,TCDD_2378,TCDD_Total,PeCDF_12378,PeCDF_23478,PeCDF_Total,PeCDD_12378,PeCDD_Total,HxCDF_123478,HxCDF_123678,HxCDF_234678,HxCDF_123789,HxCDF_Total,HxCDD_123478,HxCDD_123678,HxCDD_123789,HxCDD_Total,HpCDF_1234678,HpCDF_1234789,HpCDF_Total,HpCDD_1234678,HpCDD_Total,OCDF,OCDD,TPCBs,10PCB209,1PCB1,1PCB2,1PCB3,2PCB11,2PCB12+13,2PCB14,2PCB15,2PCB4+10,2PCB5+8,2PCB6,2PCB7+9,3PCB16+32,3PCB17,3PCB18,3PCB19,3PCB20+21+33,3PCB22,3PCB23+34,3PCB24+27,3PCB25,3PCB26,3PCB28,3PCB29,3PCB30,3PCB31,3PCB35,3PCB36,3PCB37,3PCB38,3PCB39,4PCB40,4PCB41+64+68+71,4PCB42+59,4PCB43+49,4PCB44,4PCB45,4PCB46,4PCB47+48+75,4PCB50,4PCB51,4PCB52+73,4PCB53,4PCB54,4PCB55,4PCB56+60,4PCB57,4PCB58,4PCB61+74,4PCB62+65,4PCB63,4PCB66+80,4PCB67,4PCB69,4PCB70+76,4PCB72,4PCB77,4PCB78,4PCB79,4PCB81,5PCB100,5PCB103,5PCB104,5PCB105+127,5PCB106+118,5PCB107+109,5PCB110,5PCB111+117,5PCB112,5PCB113,5PCB114,5PCB119,5PCB122,5PCB123,5PCB124,5PCB125,5PCB126,5PCB82,5PCB83+108,5PCB84,5PCB85+120,5PCB86+97,5PCB87+115+116,5PCB88+121,5PCB89+90+101,5PCB91,5PCB92,5PCB93+95,5PCB94,5PCB96,5PCB98+102,5PCB99,6PCB128,6PCB129,6PCB130,6PCB131+142,6PCB132+168,6PCB133,6PCB134+143,6PCB135+144,6PCB136,6PCB137,6PCB138+163+164,6PCB139+149,6PCB140,6PCB141,6PCB145,6PCB146,6PCB147,6PCB148,6PCB150,6PCB151,6PCB152,6PCB153,6PCB154,6PCB155,6PCB156,6PCB157,6PCB158+160,6PCB159,6PCB161,6PCB162,6PCB165,6PCB166,6PCB167,6PCB169,7PCB170+190,7PCB171,7PCB172+192,7PCB173,7PCB174+181,7PCB175,7PCB176,7PCB177,7PCB178,7PCB179,7PCB180,7PCB182+187,7PCB183,7PCB184,7PCB185,7PCB186,7PCB188,7PCB189,7PCB191,7PCB193,8PCB194,8PCB195,8PCB196+203,8PCB197,8PCB198,8PCB199,8PCB200,8PCB201,8PCB202,8PCB204,8PCB205,9PCB206,9PCB207,9PCB208,Aroclor 1016,Aroclor 1221,Aroclor 1232,Aroclor 1242,Aroclor 1248,Aroclor 1254,Aroclor 1260,DecaCB,Total DiCB,Total HeptaCB,Total HexaCB,Total MonoCB,Total NonaCB,Total OctaCB,Total PentaCB,Total TetraCB,Total TriCB,"2,4'-DDD","2,4'-DDE","2,4'-DDT","4,4'-DDD","4,4'-DDE","4,4'-DDT",Aldrin,"Chlordane, alpha (cis)","Chlordane, gamma (trans)","Chlordane, oxy-","HCH, alpha","HCH, beta","HCH, gamma",Heptachlor,Hexachlorobenzene,Mirex,"Nonachlor, cis-","Nonachlor, trans-",Dieldrin,Endosulphan Sulphate,Endrin,Endrin Aldehyde,Endrin Ketone,"HCH, delta",Heptachlor Epoxide,Methoxychlor,alpha-Endosulphan,beta-Endosulphan,11Cl-PF3OUdS,3:3 FTCA,4:2 FTS,5:3 FTCA,6:2 FTS,7:3 FTCA,8:2 FTS,9Cl-PF3ONS,ADONA,EtFOSAA,HFPO-DA,MeFOSAA,N-EtFOSA,N-EtFOSE,N-MeFOSA,N-MeFOSE,NFDHA,PFBA,PFBS,PFDA,PFDS,PFDoA,PFDoS,PFEESA,PFHpA,PFHpS,PFHxA,PFHxS,PFMBA,PFMPA,PFNA,PFNS,PFOA,PFOS,PFOSA,PFPeA,PFPeS,PFTeDA,PFTrDA,PFUnA
1,Y,N,N,Y,WODU,Unknown,NY,60,1,Wyoming,Arcade,5859 Stinson Road,42.61532964,-78.35637708,10/19/2021,Unknown,Unknown,Unknown,Unknown,Unknown,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.396,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0.243,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0.338,0,0,0,0.1,0,0
1 NY,Y,Y,Y,Y,AGWT,Unknown,NY,83,3,Jefferson,Pamelia,Perch River WMA Vaadi Road,44.0831549,-75.97405968,10/3/2021,Unknown,Unknown,Unknown,Unknown,Unknown,9.5,4.8e-4,5.600000000000001e-4,5.200000000000001e-4,0,0,0,2.5e-4,0,3.1e-4,0,4.1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,20.4,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0.041,0,0,0.196,0,0,0.171,0,0,0,0,0.029,0,0,0,0,0,0,0.507,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.344,0.287,0,0,0,0,0.05,0,0,0,0,1.96,0.102,0,0,0,0.587,0,0,0,0,0,5.16,0,0,0.281,0.077,0.116,0.053,0,0,0,0,0.198,0,1,0.108,0.08,0,0,0,0,0.077,0.053,0,2.75,1.17,0.517,0,0,0,0,0.041,0,0.142,0.553,0.183,0.834,0,0,0.615,0,0,0,0,0,0.318,0,0.135,0,0,0,0.464,0,3.44,25.6,0.314,0,5.82,8.82,0,0.453,2,2.45,0.443,0.122,0,0,0,0.033,11.772,0.109,0,0,0,0.358,0,0,0,0,0.729,0.181,0,0.096,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0,0.124,0,0,0,0,0,0,0,0,0.436,0,0.216,1.9,0,0,0,0,0,0.102
10,Y,Y,Y,Y,ABDU,Unknown,NY,83,2,Onondaga,Geddes,Onandaga Lake,43.09130038,-76.21063624,12/25/2021,Unknown,Unknown,Unknown,Unknown,Unknown,34.7,5.899999999999999e-4,7.9e-4,0.0012,0,0,0,3.5999999999999997e-4,2.7e-4,4.1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-4,0,0.0023,24.8,0.265,0,0,0,0,0,0,0.127,0,0,0,0.134,0,0,0,0,0,0,0,0,0.021,0.094,0.61,0,0,0.271,0,0,0.083,0,0,0,0.203,0,0.316,0.085,0,0,0.462,0,0,0.442,0,0,0,0.055,0,0,0.604,0,0.078,0.372,0,0,0.128,0,0.18,0,0,0,0,0,0,0.902,2.26,0.045,0.172,0.129,0,0,0.073,0.027,0,0,0,0,0.032,0,0,0,0.128,0,0.063,0,0.237,0.043,0.084,0.167,0,0,0,0.515,0.25,0,0,0,0.053,0,0,0,0,0,1.32,0.261,0,0.046,0,0.58,0,0,0,0.087,0,3.76,0,0,0.276,0.08,0.101,0.044,0,0,0,0,0.123,0,1.16,0.089,0.12,0,0.072,0,0,0.073,0.072,0,0.922,1.05,0.299,0,0,0,0,0.054,0,0.169,1.47,0.436,0.834,0,0,1.17,0,0,0.076,0,0.06,0.488,0,0.128,0,0,0,3.35,0,5.78,14.3,0.265,0.127,4.08,6.98,0,0.616,3.99,4.76,2.93,1.08,0,0,0,0.146,4.3420000000000005,0.039,0.082,0.182,0,0.287,0,0,0,0,0.921,0.457,0.189,0.26,0.623,0,0,0,0,0,0.577,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0.133,0,0,0,0,0.177,0,0.201,0,0,0,0,0,0.36,0,0,0.606,0,0.129,1.89,0,0,0,0.137,0.16700000000000004,0.13599999999999998
103-1,Y,Y,N,Y,CAGO,Unknown,NY,83,1,Cayuga,Aurelius,Unknown,42.9293813,-76.65463515,10/24/2021,Adult,Unknown,Unknown,Unknown,Unknown,0,1.9e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9e-4,0,0,2.7e-4,0,0,0,0,0,0,5.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.084,0,0,0,0,0,0
103-2,Y,N,N,N,AGWT,Unknown,NY,83,1,Cayuga,Aurelius,Unknown,42.9293813,-76.65463515,10/24/2021,Adult,Unknown,Unknown,Unknown,Unknown,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-1,Y,Y,Y,Y,ABDU,Unknown,NY,83,1,Niagara,Royalton,West Ruddy Marsh Tonawanda WMA,43.12304632,-78.48756199,10/26/2021,Unknown,Unknown,Unknown,Unknown,Unknown,22.6,2.1e-5,2.1e-4,2.2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.7160000000000001,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0.037,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0.048,0,0,0,0,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0.111,0.075,0,0,0,0,0,0,0,0,0.073,0,0.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0.67,0.936,0,0,0.231,0.453,0,0,0.058,0.228,0.111,0.046,0,0,0,0.035,3.162,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0.186,0,0.233,0,0,0,0,0,0,0,0,0.366,0,0,1.37,0,0,0,0,0,0.12499999999999996
11-2,Y,Y,Y,Y,ABDU,Unknown,NY,83,1,Niagara,Royalton,West Ruddy Marsh Tonawanda WMA,43.12304632,-78.48756199,10/26/2021,Unknown,Unknown,Unknown,Unknown,Unknown,27,0.0011,5.3e-4,5.3e-4,2.2e-4,6.2e-4,0,2.9e-4,0,6.6e-4,0,0,0,0,0,0,4.7e-4,0,0,0,0,0,0,0,4e-4,0,0,15.9,1.42,0,0,0,0,0,0,0,0,0,0,0.21199999999999997,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0.297,0.895,0.04,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0.354,0.131,0,0,0,0,0.061,0,0,0,0,0.915,0,0,0,0,0.629,0,0,0,0,0,2.87,0,0,0.113,0.057,0.06,0.05,0,0,0,0,0.074,0,0.349,0.038,0.065,0,0,0,0,0.077,0.093,0,0.338,1.11,0.232,0,0,0,0,0.031,0,0.086,0.513,0.106,0.517,0.064,0,1.18,0,0.106,0.306,0,0,1.64,0.091,0.889,0,0,0,0,0,3.54,5.51,1.42,0,2.42,4.96,0,2.62,2.69,1.59,0.146,0.049,0,0,0,0,7.972,0.092,0,0,0,0.541,0,0,0,0,1.33,0.243,0.064,0.229,0.484,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0.454,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0.639,0,0,0.306,0,0,0,0,0,0
119-4,Y,Y,Y,Y,WODU,F,NY,61/62,1,Cattaraugus,Conewango Valley,Conewango Swamp,42.19054663,-79.02534857,10/31/2021,Adult,Unknown,Unknown,Unknown,Unknown,9.1,1.6e-5,1.6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,4.2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0.065,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0,0.116,0,0,0,0,0,0.927,0.07,0,0.046,0,0,0,0,0,0,0,0.041,0,0.214,0,0,0,0,0,0,0,0,0,0.611,0.427,0.102,0,0,0,0,0,0,0,0.244,0,0.319,0,0,0.3,0,0,0,0,0,0.263,0,0,0,0,0,0,0,0,5.56,0.14,0,1.35,1.63,0,0.263,0.619,0.194,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0.125,0.118,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0.124,0,0,0,0,0.161,0,0.192,0,0,0,0,0,0,0,0,0.155,0,0,0.807,0,0,0,0.238,0.559,0.113
122-1,Y,Y,Y,Y,CAGO,M,PA,61/62,2,Crawford,Hartstown,"State Gamelands No 214, Pymatuning WMA, Hartstown Road",41.60264293,-80.41748605,11/1/2021,Adult,Unknown,Unknown,Unknown,Unknown,0,4.6e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.59,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.168,0.069,0,0,0,0,0,0,0,0,0.147,0,0.123,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0.053,0,0.307,0.23,0,0,0,0,0,0,0,0,0,0.292,4.73,0,0,0,0,0,0,0,0.193,0,0.267,0,0,0.039,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0.126,0,0,0.441,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,0,0,0
123-1,Y,Y,Y,Y,MALL,M,PA,61/62,2,Crawford,"Pine Township, Linseville",Linesville area L,41.62789941,-80.3984316,11/1/2021,Adult,Unknown,Unknown,Unknown,Unknown,6.4,9.2e-4,7e-4,0.0013,2.6000000000000003e-4,2.6000000000000003e-4,0,4.3e-4,0,4.6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,42.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,1.1,3.94,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479,0.47,0,0,0,0.071,0.075,0,0,0,0,2.91,0,0,0,0,0.745,0,0,0,0,0,8.97,0,0,0.583,0.161,0.189,0.078,0,0,0,0,0.374,0,1.89,0.142,0.144,0,0,0,0,0.074,0.158,0,5.51,1.93,0.805,0,0,0,0,0.1,0.056,0.294,1.96,0.552,2.37,0.069,0,1.99,0,0,0.129,0,0.089,1.74,0.162,0.52,0,0,0,0,0,4.79,49.2,1.1,0,11.1,14.6,0,2.42,7.07,5.62,0.486,0,0,0,0,0.097,26.7,0,0,0,0,1.04,0,0,0,0,0.572,0.215,0,0.205,0.193,0,0,0,0,0,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0.141,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.334,0,0,0.333,0,0,0,0,0,0
