ID,Hg_test,dioxin_test,PCBOCP_test,PFAS_test,species,sex,state,ecoregion,sample_group,county,town,address,latitude,longitude,harvest_date,age,weight_(g),culmen_(mm),tarsus_(mm),head_length_(mm)
CTMALL2,Y,Y,Y,Y,MALL,M,CT,59,1,Middlesex,Old Lyme,Great Island,41.28897256,-72.33274494,10/9/2021,Unknown,1374,55,58,119
CTWOD02,Y,Y,Y,Y,WODU,M,CT,59,2,Hartford,Wethersfield,Wethersfield Cove,41.72423986,-72.65828691,10/9/2021,Unknown,600,37,44,90
CTCAG01,Y,Y,Y,Y,CAGO,M,CT,59,2,New London,Lebanon,Unknown,41.6361364,-72.21289822,10/11/2021,Unknown,4812,55,96,128
CTCAG02,Y,Y,Y,Y,CAGO,M,CT,59,3,Windham,Putnam,Unknown,,,10/13/2021,Unknown,4653,55,94,119
CTAGWT2,Y,Y,N,Y,AGWT,Unknown,CT,59,2,Hartford,Wethersfield,Unknown,41.70711368,-72.62240532,10/14/2021,Unknown,Unknown,Unknown,Unknown,Unknown
CTMALL1,Y,Y,Y,Y,MALL,F,CT,59,2,Middlesex,East Haddam,Moodus Reservoir,41.50357485,-72.40353597,10/14/2021,Unknown,1349,54,57,120
CTABD01,Y,Y,Y,Y,ABDU,M,CT,58,1,Litchfield,Riverton,Hogsback Reservoir,42.00365732,-73.03144978,11/17/2021,Unknown,1316,59,61,121
CTABD02,Y,Y,Y,Y,ABDU,M,CT,59,2,New Haven,Milford,Nells Island,41.1843685,-73.11634804,11/17/2021,Unknown,1452,59,60,119
CTAGWT3,Y,Y,N,Y,AGWT,M,CT,59,2,New Haven,Milford,Nells Island,41.1843685,-73.11634804,11/17/2021,Unknown,410,39,39,83
CTAGWT1,Y,Y,Y,Y,AGWT,F,CT,58,1,Litchfield,Riverton,Hogsback Reservoir,42.00365732,-73.03144978,11/18/2021,Unknown,379,48,40,82
CTWOD01,Y,Y,Y,Y,WODU,M,CT,59,3,Fairfield,Monroe,Unknown,,,11/18/2021,Unknown,676,37,45,89
CTMALL3,Y,Y,Y,Y,MALL,M,CT,59,3,Windham,Eastford,Papineau Marsh,41.86485294,-72.08154553,11/25/2021,Unknown,1410,54,57,116
CTCAG03,Y,Y,Y,Y,CAGO,M,CT,59,1,Tolland,Andover,Unknown,41.73725705,-72.37036,12/28/2021,Unknown,11313,54,96,124
CTABD03,N,Y,Y,Y,ABDU,Unknown,CT,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown,Unknown,Unknown,Unknown,Unknown
NJ_AGWT_01_AD,Y,Y,Y,Y,AGWT,M,NJ,64,2,Hudson,Secaucus,Hackensack River,40.80914738,-74.04078696,10/16/2021,Adult,480,37.1,35.5,Unknown
NJ_MALL_40_AD,Y,Y,Y,Y,MALL,M,NJ,64,2,Hudson,Secaucus,Hackensack River,40.80914738,-74.04078696,10/16/2021,Adult,1350,52.8,46.1,Unknown
