TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Hexachlorobenzene,0.072,Y,J,ng/g,0.463,0.059,WG87204,NA,118-74-1,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"HCH, alpha",NA,N,U,ng/g,0.926,0.0894,WG87204,NA,319-84-6,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"HCH, beta",NA,N,U,ng/g,0.925,0.11,WG87204,NA,319-85-7,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"HCH, gamma",0.193,Y,K B J,ng/g,0.925,0.182,WG87204,NA,58-89-9,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Heptachlor,NA,N,U,ng/g,0.462,0.0591,WG87204,NA,76-44-8,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Aldrin,NA,N,U,ng/g,1.2,0.113,WG87204,NA,309-00-2,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.926,0.0441,WG87204,NA,5103-74-2,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.929,0.0473,WG87204,NA,5103-71-9,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"Chlordane, oxy-",NA,N,U,ng/g,0.937,0.133,WG87204,NA,27304-13-8,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"Nonachlor, trans-",NA,N,U,ng/g,0.927,0.0172,WG87204,NA,39765-80-5,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"Nonachlor, cis-",NA,N,U,ng/g,0.925,0.0178,WG87204,NA,5103-73-1,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Mirex,0.066,Y,J,ng/g,0.469,0.044,WG87204,NA,2385-85-5,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"2,4'-DDE",NA,N,U,ng/g,0.468,0.0228,WG87204,NA,3424-82-6,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"4,4'-DDE",3.57,Y,NA,ng/g,0.567,0.0307,WG87204,NA,72-55-9,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"2,4'-DDD",NA,N,U,ng/g,0.461,0.0145,WG87204,NA,53-19-0,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"4,4'-DDD",NA,N,U,ng/g,0.561,0.0185,WG87204,NA,72-54-8,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"2,4'-DDT",NA,N,U,ng/g,0.467,0.0189,WG87204,NA,789-02-6,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,"4,4'-DDT",NA,N,U,ng/g,0.468,0.0212,WG87204,NA,50-29-3,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231106,0800,Sample,% Moisture,74.3,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,21-Oct-21,2,NA
NA,L40006-3,NA,NA,NA,NA,20231106,0800,Sample,% Lipid,5.82,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,21-Oct-21,2,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,Hexachlorobenzene,0.179,Y,J,ng/g,0.453,0.0481,WG87204,NA,118-74-1,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"HCH, alpha",NA,N,U,ng/g,0.906,0.0827,WG87204,NA,319-84-6,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"HCH, beta",NA,N,U,ng/g,0.904,0.199,WG87204,NA,319-85-7,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"HCH, gamma",0.232,Y,K B J,ng/g,0.904,0.116,WG87204,NA,58-89-9,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,Heptachlor,NA,N,U,ng/g,0.452,0.101,WG87204,NA,76-44-8,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,Aldrin,NA,N,U,ng/g,1.18,0.219,WG87204,NA,309-00-2,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.906,0.06,WG87204,NA,5103-74-2,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.908,0.0644,WG87204,NA,5103-71-9,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"Chlordane, oxy-",NA,N,U,ng/g,0.916,0.218,WG87204,NA,27304-13-8,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"Nonachlor, trans-",0.354,Y,J,ng/g,0.906,0.026,WG87204,NA,39765-80-5,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"Nonachlor, cis-",0.07,Y,J,ng/g,0.905,0.0269,WG87204,NA,5103-73-1,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,Mirex,0.083,Y,J,ng/g,0.458,0.0569,WG87204,NA,2385-85-5,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"2,4'-DDE",NA,N,U,ng/g,0.457,0.0192,WG87204,NA,3424-82-6,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"4,4'-DDE",56.4,Y,NA,ng/g,0.555,0.0258,WG87204,NA,72-55-9,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"2,4'-DDD",NA,N,U,ng/g,0.451,0.0233,WG87204,NA,53-19-0,NA,NA,19-Oct-21,3,NA
