"","TagNo","LabNo","SPP","Sex","Weight","Condition","Analysis_Date","Analysis_Time","Sample_Type","Analyte","Result","Detect","Result_Qualifier","Result_Unit","LOQ","Reporting_Limit","SDG","Remarks","CAS_Number","Location","Length","Sample_Date","Sample_ID","Prep"
"1",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","HCH, delta",NA,"N","U","ng/g",0.451,0.0999,"WG87325",NA,"319-86-8",NA,NA,"13-Oct-21","58-1",NA
"2",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","Heptachlor Epoxide",NA,"N","U","ng/g",0.361,0.0861,"WG87325",NA,"1024-57-3",NA,NA,"13-Oct-21","58-1",NA
"3",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","Dieldrin",NA,"N","U","ng/g",0.359,0.054,"WG87325",NA,"60-57-1",NA,NA,"13-Oct-21","58-1",NA
"4",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","Endrin",NA,"N","U","ng/g",0.36,0.06,"WG87325",NA,"72-20-8",NA,NA,"13-Oct-21","58-1",NA
"5",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","Endrin Aldehyde",NA,"N","U H","ng/g",0.359,0.0743,"WG87325",NA,"7421-93-4",NA,NA,"13-Oct-21","58-1",NA
"6",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","Endrin Ketone",NA,"N","U","ng/g",0.36,0.0488,"WG87325",NA,"53494-70-5",NA,NA,"13-Oct-21","58-1",NA
"7",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","Methoxychlor",NA,"N","U","ng/g",0.358,0.12,"WG87325",NA,"72-43-5",NA,NA,"13-Oct-21","58-1",NA
"8",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","alpha-Endosulphan",NA,"N","U","ng/g",0.36,0.0502,"WG87325",NA,"959-98-8",NA,NA,"13-Oct-21","58-1",NA
"9",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","beta-Endosulphan",NA,"N","U","ng/g",0.362,0.0521,"WG87325",NA,"33213-65-9",NA,NA,"13-Oct-21","58-1",NA
"10",NA,"L40006-22  (A)",NA,NA,NA,NA,20231124,"2332","Sample","Endosulphan Sulphate",NA,"N","U","ng/g",0.362,0.0654,"WG87325",NA,"1031-07-8",NA,NA,"13-Oct-21","58-1",NA
