TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFBA,NA,N,U,ng/g,1.58,0.394,WG87235,NA,45048-62-2,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFPeA,NA,N,U,ng/g,0.788,0.197,WG87235,NA,45167-47-3,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFHxA,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,92612-52-7,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFHpA,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,120885-29-2,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFOA,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,45285-51-6,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFNA,0.126,Y,J,ng/g,0.394,0.0985,WG87235,NA,72007-68-2,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFDA,0.243,Y,J,ng/g,0.394,0.0985,WG87235,NA,73829-36-4,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFUnA,0.202,Y,B J,ng/g,0.394,0.0985,WG87235,NA,196859-54-8,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFDoA,NA,N,U,ng/g,0.394,0.0788,WG87235,NA,171978-95-3,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFTrDA,0.167,Y,B J,ng/g,0.394,0.0985,WG87235,NA,862374-87-6,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFTeDA,0.1,Y,J,ng/g,0.394,0.0985,WG87235,NA,365971-87-5,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFBS,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,45187-15-3,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFPeS,NA,N,U,ng/g,0.394,0.15,WG87235,NA,175905-36-9,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFHxS,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,108427-53-8,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFHpS,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,146689-46-5,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFOS,0.338,Y,K J,ng/g,0.394,0.0985,WG87235,NA,45298-90-6,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFNS,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,474511-07-4,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFDS,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,126105-34-8,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFDoS,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,343629-43-6,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,4:2 FTS,NA,N,U,ng/g,1.58,0.394,WG87235,NA,414911-30-1,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,6:2 FTS,0.396,Y,J,ng/g,8.53,0.355,WG87235,NA,425670-75-3,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,8:2 FTS,NA,N,U,ng/g,1.58,0.335,WG87235,NA,481071-78-7,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,PFOSA,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,754-91-6,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,N-MeFOSA,NA,N,U,ng/g,0.453,0.0985,WG87235,NA,31506-32-8,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,N-EtFOSA,NA,N,U,ng/g,0.985,0.276,WG87235,NA,4151-50-2,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,MeFOSAA,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,2355-31-9,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,EtFOSAA,NA,N,U,ng/g,0.394,0.0985,WG87235,NA,2991-50-6,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,N-MeFOSE,NA,N,U,ng/g,10.8,0.985,WG87235,NA,24448-09-7,NA,NA,19-Oct-21,1,NA
NA,L40006-1,NA,NA,NA,NA,20231024,1934,Sample,N-EtFOSE,3.08,Y,K,ng/g,2.96,0.985,WG87235,NA,1691-99-2,NA,NA,19-Oct-21,1,NA
