,TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
4104,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Aroclor 1016,NA,N,U,ng/g,NA,0.135,WG87204,NA,12674-11-2,NA,NA,21-Oct-21,2,NA
4105,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Aroclor 1221,NA,N,U,ng/g,NA,0.131,WG87204,NA,11104-28-2,NA,NA,21-Oct-21,2,NA
4106,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Aroclor 1232,NA,N,U,ng/g,NA,0.226,WG87204,NA,11141-16-5,NA,NA,21-Oct-21,2,NA
4107,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Aroclor 1242,NA,N,U,ng/g,NA,0.171,WG87204,NA,53469-21-9,NA,NA,21-Oct-21,2,NA
4108,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Aroclor 1248,NA,N,U,ng/g,NA,0.208,WG87204,NA,12672-29-6,NA,NA,21-Oct-21,2,NA
4109,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Aroclor 1254,NA,N,U,ng/g,NA,0.565,WG87204,NA,11097-69-1,NA,NA,21-Oct-21,2,NA
4110,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Aroclor 1260,1.9,Y,NA,ng/g,NA,0.292,WG87204,NA,11096-82-5,NA,NA,21-Oct-21,2,NA
4310,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Total MonoCB,NA,N,U,ng/g,NA,0.0435,WG87204,NA,27323-18-8,NA,NA,21-Oct-21,2,NA
4311,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Total DiCB,NA,N,U,ng/g,NA,0.0371,WG87204,NA,25512-42-9,NA,NA,21-Oct-21,2,NA
4312,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Total TriCB,NA,N,U,ng/g,NA,0.0234,WG87204,NA,25323-68-6,NA,NA,21-Oct-21,2,NA
4313,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Total TetraCB,NA,N,U,ng/g,NA,0.0236,WG87204,NA,26914-33-0,NA,NA,21-Oct-21,2,NA
4314,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Total PentaCB,0.208,Y,NA,ng/g,NA,0.0192,WG87204,NA,25429-29-2,NA,NA,21-Oct-21,2,NA
4315,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Total HexaCB,0.757,Y,NA,ng/g,NA,0.0262,WG87204,NA,26601-64-9,NA,NA,21-Oct-21,2,NA
4316,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Total HeptaCB,0.415,Y,NA,ng/g,NA,0.0372,WG87204,NA,28655-71-2,NA,NA,21-Oct-21,2,NA
4317,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Total OctaCB,NA,N,U,ng/g,NA,0.0802,WG87204,NA,55722-26-4,NA,NA,21-Oct-21,2,NA
4318,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,Total NonaCB,NA,N,U,ng/g,NA,0.0471,WG87204,NA,53742-07-7,NA,NA,21-Oct-21,2,NA
4319,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,DecaCB,NA,N,U,ng/g,NA,0.0227,WG87204,NA,2051-24-3,NA,NA,21-Oct-21,2,NA
4320,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,TOTAL PCBs,1.38,Y,NA,ng/g,NA,0.0192,WG87204,NA,1336-36-3,NA,NA,21-Oct-21,2,NA
6489,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,1PCB1,NA,N,U,ng/g,0.463,0.0454,WG87204,NA,2051-60-7,NA,NA,21-Oct-21,2,NA
6490,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,1PCB2,NA,N,U,ng/g,0.458,0.0435,WG87204,NA,2051-61-8,NA,NA,21-Oct-21,2,NA
6491,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,1PCB3,NA,N,U,ng/g,0.458,0.0435,WG87204,NA,2051-62-9,NA,NA,21-Oct-21,2,NA
6492,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,2PCB4+10,NA,N,C U,ng/g,0.465,0.0711,WG87204,NA,13029-08-8,NA,NA,21-Oct-21,2,NA
6493,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,2PCB5+8,NA,N,C U,ng/g,0.469,0.0371,WG87204,NA,16605-91-7,NA,NA,21-Oct-21,2,NA
6494,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,2PCB6,NA,N,U,ng/g,0.463,0.0371,WG87204,NA,25569-80-6,NA,NA,21-Oct-21,2,NA
6495,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,2PCB7+9,0.436,Y,C K B J,ng/g,0.463,0.0371,WG87204,NA,33284-50-3,NA,NA,21-Oct-21,2,NA
6496,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,2PCB11,NA,N,U,ng/g,0.463,0.0371,WG87204,NA,2050-67-1,NA,NA,21-Oct-21,2,NA
6497,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,2PCB12+13,NA,N,C U,ng/g,0.463,0.0371,WG87204,NA,2974-92-7,NA,NA,21-Oct-21,2,NA
6498,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,2PCB14,NA,N,U,ng/g,0.463,0.0371,WG87204,NA,34883-41-5,NA,NA,21-Oct-21,2,NA
6499,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,2PCB15,NA,N,U,ng/g,0.463,0.04,WG87204,NA,2050-68-2,NA,NA,21-Oct-21,2,NA
6500,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB16+32,NA,N,C U,ng/g,0.458,0.0451,WG87204,NA,38444-78-9,NA,NA,21-Oct-21,2,NA
6501,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB17,NA,N,U,ng/g,0.458,0.0451,WG87204,NA,37680-66-3,NA,NA,21-Oct-21,2,NA
6502,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB18,NA,N,U,ng/g,0.465,0.0451,WG87204,NA,37680-65-2,NA,NA,21-Oct-21,2,NA
6503,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB19,NA,N,U,ng/g,0.466,0.0517,WG87204,NA,38444-73-4,NA,NA,21-Oct-21,2,NA
6504,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,3PCB20+21+33,NA,N,C U,ng/g,0.458,0.0234,WG87204,NA,38444-84-7,NA,NA,21-Oct-21,2,NA
