LABNO,TAGNO,SPP,SDATE,LOCATION,SEX,WGTG,PROGRAM,NOANLY,Hg
21-1523-H,CTCAG03,CAGO,20211228,Andover-CT,NA,NA,Cornell WF-2021,1,-0.004
21-1524-H,CTABD01,ABDU,20211117,Colebrook-CT,NA,NA,Cornell WF-2021,1,0.117
21-1525-H,CTAGWT1,AGWT,20211118,Colebrook-CT,NA,NA,Cornell WF-2021,1,0.0832
21-1526-H,CTMALL1,MALL,20211018,East Haddem-CT,NA,NA,Cornell WF-2021,1,0.0156
21-1527-H,CTMALL3,MALL,20211125,Eastford-CT,NA,NA,Cornell WF-2021,1,0.0142
21-1528-H,CTCAG01,CAGO,20211011,Lebanon-CT,NA,NA,Cornell WF-2021,1,-0.004
21-1529-H,CTABD02,ABDU,20211117,Millford-CT,NA,NA,Cornell WF-2021,1,0.170
21-1530-H,CTAGWT3,AGWT,20211117,Millford-CT,NA,NA,Cornell WF-2021,1,0.104
21-1531-H,CTWOD01,WODU,20211118,Monroe-CT,NA,NA,Cornell WF-2021,1,-0.004
21-1532-H,CTMALL2,MALL,20211009,Old Lyme-CT,NA,NA,Cornell WF-2021,1,0.0207
21-1533-H,CTCAG02,CAGO,20211013,Putnam-CT,NA,NA,Cornell WF-2021,1,-0.004
21-1534-H,CTAGWT2,AGWT,20211014,Wethersfield-CT,NA,NA,Cornell WF-2021,1,0.0321
21-1535-H,CTWOD02,WODU,20211014,Wethersfield-CT,NA,NA,Cornell WF-2021,1,0.00470
21-1537-H,NJ_MALL_60AD,MALL,20220215,Basking Ridge-NJ,NA,NA,Cornell WF-2021,1,0.0247
21-1538-H,NJ_MALL_10AD,MALL,20211124,Brigantine-NJ,NA,NA,Cornell WF-2021,1,0.0138
21-1539-H,NJ_ABDU_02LC,ABDU,20211023,Dennis-NJ,NA,NA,Cornell WF-2021,1,0.0193
21-1540-H,NJ_AGWT_01LC,AGWT,20211023,Dennis-NJ,NA,NA,Cornell WF-2021,1,0.0136
21-1541-H,NJ_ABDU_30AD,ABDU,20220107,Franklin Township-NJ,NA,NA,Cornell WF-2021,1,0.0277
21-1542-H,NJ_CAGO_30AD,CAGO,20220126,Hackettstown-NJ,NA,NA,Cornell WF-2021,1,-0.004
21-1543-H,NJ_WODU_03AD,WODU,20221019,Hampton-NJ,NA,NA,Cornell WF-2021,1,0.00800
21-1544-H,NJ_WODU_02AD,WODU,20221018,Hope-NJ,NA,NA,Cornell WF-2021,1,0.00640
21-1545-H,NJ_MALL_11AD,MALL,20211210,Knowlton Township-NJ,NA,NA,Cornell WF-2021,1,0.0406
21-1546-H,NJ_WODU_01JK,WODU,20211016,Lafayette-NJ,NA,NA,Cornell WF-2021,1,0.00790
21-1547-H,NJ_CAGO_01AD,CAGO,20211222,Logan-NJ,NA,NA,Cornell WF-2021,1,-0.004
21-1548-H,NJ_MALL_01AD,MALL,20211222,Logan-NJ,NA,NA,Cornell WF-2021,1,0.00610
21-1549-H,NJ_AGWT_02AD,AGWT,20211023,Lower Alloways Cr-NJ,NA,NA,Cornell WF-2021,1,0.0245
21-1550-H,NJ_WODU_01AD,WODU,20211023,Lower Alloways Cr-NJ,NA,NA,Cornell WF-2021,1,0.0156
21-1551-H,NJ_MALL_30AD,MALL,20220113,Mt. Olive-NJ,NA,NA,Cornell WF-2021,1,0.0199
21-1552-H,NJ_WODU_11AD,WODU,20211229,Mt. Olive-NJ,NA,NA,Cornell WF-2021,1,0.0185
21-1553-H,NJ_WODU_03LC,WODU,20211023,Port Elizabeth-NJ,NA,NA,Cornell WF-2021,1,0.00740
21-1554-H,NJ_ABDU_01AD,ABDU,20211030,Port Norris-NJ,NA,NA,Cornell WF-2021,1,0.0902
21-1555-H,NJ_AGWT_01AD,AGWT,20211016,Secaucus-NJ,NA,NA,Cornell WF-2021,1,0.0131
21-1556-H,NJ_MALL_01AD,MALL,20211016,Sesaucus-NJ,NA,NA,Cornell WF-2021,1,0.109
21-1557-H,NJ_WODU_01TN,WODU,20211027,Weymouth-NJ,NA,NA,Cornell WF-2021,1,0.00710
21-1558-H,NJ_AGWT_02NJ,AGWT,,NJ,NA,NA,Cornell WF-2021,1,0.00510
21-1559-H,177-1,MALL,20211128,Amity Harbor-NY,NA,NA,Cornell WF-2021,1,0.0413
21-1560-H,69-1,WODU,20211016,Ancram-NY,NA,NA,Cornell WF-2021,1,0.00770
21-1561-H,87-1,WODU,20211022,Ancram-NY,NA,NA,Cornell WF-2021,1,0.00500
21-1562-H,B921078_1,WODU,20211019,Arcade-NY,NA,NA,Cornell WF-2021,1,0.00450
21-1563-H,B921077_2,WODU,20211021,Arcade-NY,NA,NA,Cornell WF-2021,1,0.0242
21-1564-H,3,MALL,20211019,Arcade-NY,NA,NA,Cornell WF-2021,1,0.0145
21-1565-H,4,MALL,20211021,Arcade-NY,NA,NA,Cornell WF-2021,1,0.00810
21-1566-H,B921074_6,MALL,20211016,Arcade-NY,NA,NA,Cornell WF-2021,1,-0.004
21-1567-H,B921076_7,WODU,20211019,Arcade-NY,NA,NA,Cornell WF-2021,1,0.0170
21-1568-H,B921079_8,WODU,20211021,Arcade-NY,NA,NA,Cornell WF-2021,1,0.0128
21-1569-H,103-1,CAGO,20211024,Aurelius-NY,NA,NA,Cornell WF-2021,1,-0.004
21-1570-H,103-2,AGWT,20211024,Aurelius-NY,NA,NA,Cornell WF-2021,1,0.0263
21-1571-H,49-1,WODU,20211008,Canton-NY,M,NA,Cornell WF-2021,1,-0.004
21-1572-H,74-1,WODU,20211016,Carlisle-NY,NA,NA,Cornell WF-2021,1,0.00630
